run_name,model_type,rank,maxIter,regParam,coldStarStrategy,rmse,mae,train_time
ALS_dev_r15_i20_reg0.1,ALS,15,20,0.1,drop,0.5198042402865444,0.3414641534918952,211.70252227783203
ALS_dev_r15_i15_reg0.1,ALS,15,15,0.1,drop,0.5217407636767282,0.34259527936197987,162.63418459892273
ALS_dev_r10_i20_reg0.1,ALS,10,20,0.1,drop,0.5230685313798404,0.3432336540032474,145.74309706687927
ALS_dev_r15_i10_reg0.1,ALS,15,10,0.1,drop,0.5247706004083508,0.3446470906379572,108.48450708389282
ALS_dev_r10_i15_reg0.1,ALS,10,15,0.1,drop,0.5269874644456618,0.34550316797395675,111.74191784858704
ALS_dev_r5_i20_reg0.1,ALS,5,20,0.1,drop,0.5287742678712648,0.34583633063693725,88.0093367099762
ALS_dev_r10_i10_reg0.1,ALS,10,10,0.1,drop,0.5339501413647573,0.34991617682799486,75.38130474090576
ALS_dev_r5_i15_reg0.1,ALS,5,15,0.1,drop,0.5370913253951649,0.3505024011377655,68.56011867523193
ALS_dev_r5_i10_reg0.1,ALS,5,10,0.1,drop,0.5558676822274041,0.36201503320587797,46.21014714241028
ALS_dev_r5_i10_reg0.01,ALS,5,10,0.01,drop,0.6708391916335825,0.39558108191828495,48.77515006065369
ALS_dev_r10_i10_reg0.01,ALS,10,10,0.01,drop,0.7318936447397291,0.44723354451428315,76.93224120140076
ALS_dev_r5_i15_reg0.01,ALS,5,15,0.01,drop,0.7658817469261464,0.4294094830791089,66.44813585281372
ALS_dev_r15_i10_reg0.01,ALS,15,10,0.01,drop,0.7884602812558372,0.5069003937604862,109.75170683860779
ALS_dev_r5_i20_reg0.01,ALS,5,20,0.01,drop,0.8141548806219575,0.44594177801824286,87.2843017578125
ALS_dev_r10_i15_reg0.01,ALS,10,15,0.01,drop,0.8516945374487194,0.5058168579655312,111.97588276863098
ALS_dev_r10_i20_reg0.01,ALS,10,20,0.01,drop,0.8915641854355256,0.5231502402137458,145.50276112556458
ALS_dev_r15_i15_reg0.01,ALS,15,15,0.01,drop,0.9086071694630554,0.573993456127202,163.20979356765747
ALS_dev_r15_i20_reg0.01,ALS,15,20,0.01,drop,0.9406591960247762,0.5896087500706906,217.35098004341125
ALS_dev_r5_i20_reg1.0,ALS,5,20,1.0,drop,1.1379987743086661,0.9995645379150532,88.57443284988403
ALS_dev_r15_i20_reg1.0,ALS,15,20,1.0,drop,1.1379987791734696,0.9995645400313607,211.84241700172424
ALS_dev_r15_i15_reg1.0,ALS,15,15,1.0,drop,1.1379987822439306,0.9995645437727002,161.62659192085266
ALS_dev_r10_i20_reg1.0,ALS,10,20,1.0,drop,1.1379987832654732,0.9995645420968696,144.69619369506836
ALS_dev_r10_i15_reg1.0,ALS,10,15,1.0,drop,1.1379988513601356,0.99956461895491,109.8551414012909
ALS_dev_r5_i15_reg1.0,ALS,5,15,1.0,drop,1.1379988642888283,0.9995646275720091,67.80045938491821
ALS_dev_r15_i10_reg1.0,ALS,15,10,1.0,drop,1.1380004290976689,0.9995662571452854,107.74998712539673
ALS_dev_r10_i10_reg1.0,ALS,10,10,1.0,drop,1.138034077867519,0.9996012400472788,75.0146312713623
ALS_dev_r5_i10_reg1.0,ALS,5,10,1.0,drop,1.1380370013258536,0.9996042837768365,46.51952862739563
