run_name,model_type,numTrees,maxDepth,featureSubsetStrategy,accuracy,f1,train_time
RF_dev_t50_d20,RandomForest,50,20,auto,0.9989243815193737,0.9989263035071881,9.70163631439209
RF_dev_t50_d10,RandomForest,50,10,auto,0.9989243815193737,0.9989266209647567,3.193378448486328
RF_dev_t50_d15,RandomForest,50,15,auto,0.9988993671361033,0.998901432048227,5.25356388092041
RF_dev_t10_d10,RandomForest,10,10,auto,0.9988993671361033,0.998901610170787,1.3858301639556885
RF_dev_t70_d20,RandomForest,70,20,auto,0.9988743527528329,0.9988763895518825,12.078431844711304
RF_dev_t70_d15,RandomForest,70,15,auto,0.9988743527528329,0.9988765656945608,6.651394605636597
RF_dev_t70_d10,RandomForest,70,10,auto,0.9988743527528329,0.9988766028503363,4.346394777297974
RF_dev_t30_d10,RandomForest,30,10,auto,0.9988743527528329,0.9988766028503363,2.077805280685425
RF_dev_t30_d20,RandomForest,30,20,auto,0.9988493383695625,0.9988513466770403,4.971911668777466
RF_dev_t30_d15,RandomForest,30,15,auto,0.9988493383695625,0.9988515222984551,3.3960671424865723
RF_dev_t10_d15,RandomForest,10,15,auto,0.9988493383695625,0.998851590336272,1.7179851531982422
RF_dev_t10_d20,RandomForest,10,20,auto,0.9988243239862922,0.9988260800917321,2.3772006034851074
RF_dev_t70_d5,RandomForest,70,5,auto,0.9987993096030218,0.9988018565146776,1.74761962890625
RF_dev_t50_d5,RandomForest,50,5,auto,0.9987993096030218,0.9988018565146776,1.357865571975708
RF_dev_t30_d5,RandomForest,30,5,auto,0.9987993096030218,0.9988018565146776,1.0454657077789307
RF_dev_t10_d5,RandomForest,10,5,auto,0.9987993096030218,0.9988018565146776,1.9925227165222168
